Freq.	I(R1)
1.18850222743701e+008	(-1.07238446538683e+002dB,-9.14983261476666e+001°)
1.19124200802737e+008	(-1.07177668736045e+002dB,-9.15018142071506e+001°)
1.19398810446427e+008	(-1.07116887272884e+002dB,-9.15053108055802e+001°)
1.19674053130724e+008	(-1.07056102131640e+002dB,-9.15088159657581e+001°)
1.19949930314937e+008	(-1.06995313294667e+002dB,-9.15123297103929e+001°)
1.20226443461741e+008	(-1.06934520744229e+002dB,-9.15158520622943e+001°)
1.20503594037179e+008	(-1.06873724462503e+002dB,-9.15193830443565e+001°)
1.20781383510678e+008	(-1.06812924431577e+002dB,-9.15229226796428e+001°)
1.21059813355048e+008	(-1.06752120633450e+002dB,-9.15264709912635e+001°)
1.21338885046497e+008	(-1.06691313050030e+002dB,-9.15300280023582e+001°)
1.21618600064636e+008	(-1.06630501663137e+002dB,-9.15335937359785e+001°)
1.21898959892486e+008	(-1.06569686454498e+002dB,-9.15371682157599e+001°)
1.22179966016487e+008	(-1.06508867405750e+002dB,-9.15407514648094e+001°)
1.22461619926504e+008	(-1.06448044498441e+002dB,-9.15443435066719e+001°)
1.22743923115840e+008	(-1.06387217714020e+002dB,-9.15479443650044e+001°)
1.23026877081238e+008	(-1.06326387033851e+002dB,-9.15515540633588e+001°)
1.23310483322890e+008	(-1.06265552439199e+002dB,-9.15551726253517e+001°)
1.23594743344450e+008	(-1.06204713911239e+002dB,-9.15588000749195e+001°)
1.23879658653036e+008	(-1.06143871431050e+002dB,-9.15624364359078e+001°)
1.24165230759240e+008	(-1.06083024979617e+002dB,-9.15660817324187e+001°)
1.24451461177138e+008	(-1.06022174537831e+002dB,-9.15697359880372e+001°)
1.24738351424294e+008	(-1.05961320086486e+002dB,-9.15733992271929e+001°)
1.25025903021771e+008	(-1.05900461606278e+002dB,-9.15770714741921e+001°)
1.25314117494141e+008	(-1.05839599077810e+002dB,-9.15807527531007e+001°)
1.25602996369487e+008	(-1.05778732481587e+002dB,-9.15844430884378e+001°)
1.25892541179416e+008	(-1.05717861798013e+002dB,-9.15881425045928e+001°)
1.26182753459066e+008	(-1.05656987007399e+002dB,-9.15918510259730e+001°)
1.26473634747114e+008	(-1.05596108089952e+002dB,-9.15955686774066e+001°)
1.26765186585784e+008	(-1.05535225025784e+002dB,-9.15992954835695e+001°)
1.27057410520853e+008	(-1.05474337794904e+002dB,-9.16030314690394e+001°)
1.27350308101665e+008	(-1.05413446377222e+002dB,-9.16067766590358e+001°)
1.27643880881134e+008	(-1.05352550752547e+002dB,-9.16105310783336e+001°)
1.27938130415752e+008	(-1.05291650900588e+002dB,-9.16142947519169e+001°)
1.28233058265601e+008	(-1.05230746800948e+002dB,-9.16180677049310e+001°)
1.28528665994361e+008	(-1.05169838433131e+002dB,-9.16218499628014e+001°)
1.28824955169313e+008	(-1.05108925776536e+002dB,-9.16256415507666e+001°)
1.29121927361353e+008	(-1.05048008810461e+002dB,-9.16294424940877e+001°)
1.29419584144998e+008	(-1.04987087514096e+002dB,-9.16332528184114e+001°)
1.29717927098395e+008	(-1.04926161866528e+002dB,-9.16370725492239e+001°)
1.30016957803328e+008	(-1.04865231846739e+002dB,-9.16409017123734e+001°)
1.30316677845229e+008	(-1.04804297433605e+002dB,-9.16447403333694e+001°)
1.30617088813183e+008	(-1.04743358605895e+002dB,-9.16485884382201e+001°)
1.30918192299940e+008	(-1.04682415342270e+002dB,-9.16524460528920e+001°)
1.31219989901919e+008	(-1.04621467621285e+002dB,-9.16563132034163e+001°)
1.31522483219223e+008	(-1.04560515421387e+002dB,-9.16601899157575e+001°)
1.31825673855640e+008	(-1.04499558720911e+002dB,-9.16640762162271e+001°)
1.32129563418657e+008	(-1.04438597498087e+002dB,-9.16679721311873e+001°)
1.32434153519466e+008	(-1.04377631731030e+002dB,-9.16718776872231e+001°)
1.32739445772973e+008	(-1.04316661397748e+002dB,-9.16757929105485e+001°)
1.33045441797808e+008	(-1.04255686476138e+002dB,-9.16797178279409e+001°)
1.33352143216332e+008	(-1.04194706943982e+002dB,-9.16836524658417e+001°)
1.33659551654643e+008	(-1.04133722778951e+002dB,-9.16875968514226e+001°)
1.33967668742593e+008	(-1.04072733958606e+002dB,-9.16915510112480e+001°)
1.34276496113785e+008	(-1.04011740460388e+002dB,-9.16955149724787e+001°)
1.34586035405594e+008	(-1.03950742261628e+002dB,-9.16994887622095e+001°)
1.34896288259164e+008	(-1.03889739339542e+002dB,-9.17034724073358e+001°)
1.35207256319427e+008	(-1.03828731671229e+002dB,-9.17074659355722e+001°)
1.35518941235103e+008	(-1.03767719233673e+002dB,-9.17114693738657e+001°)
1.35831344658714e+008	(-1.03706702003738e+002dB,-9.17154827500520e+001°)
1.36144468246594e+008	(-1.03645679958175e+002dB,-9.17195060914962e+001°)
1.36458313658891e+008	(-1.03584653073614e+002dB,-9.17235394258771e+001°)
1.36772882559584e+008	(-1.03523621326566e+002dB,-9.17275827811086e+001°)
1.37088176616484e+008	(-1.03462584693424e+002dB,-9.17316361849871e+001°)
1.37404197501251e+008	(-1.03401543150460e+002dB,-9.17356996653307e+001°)
1.37720946889394e+008	(-1.03340496673826e+002dB,-9.17397732504483e+001°)
1.38038426460287e+008	(-1.03279445239550e+002dB,-9.17438569684461e+001°)
1.38356637897177e+008	(-1.03218388823542e+002dB,-9.17479508474949e+001°)
1.38675582887188e+008	(-1.03157327401584e+002dB,-9.17520549162847e+001°)
1.38995263121334e+008	(-1.03096260949341e+002dB,-9.17561692029444e+001°)
1.39315680294529e+008	(-1.03035189442347e+002dB,-9.17602937362268e+001°)
1.39636836105593e+008	(-1.02974112856015e+002dB,-9.17644285449568e+001°)
1.39958732257261e+008	(-1.02913031165633e+002dB,-9.17685736577571e+001°)
1.40281370456195e+008	(-1.02851944346359e+002dB,-9.17727291037449e+001°)
1.40604752412990e+008	(-1.02790852373229e+002dB,-9.17768949117996e+001°)
1.40928879842186e+008	(-1.02729755221147e+002dB,-9.17810711109954e+001°)
1.41253754462274e+008	(-1.02668652864891e+002dB,-9.17852577307636e+001°)
1.41579377995707e+008	(-1.02607545279109e+002dB,-9.17894548001759e+001°)
1.41905752168908e+008	(-1.02546432438320e+002dB,-9.17936623490472e+001°)
1.42232878712281e+008	(-1.02485314316911e+002dB,-9.17978804067214e+001°)
1.42560759360218e+008	(-1.02424190889139e+002dB,-9.18021090028550e+001°)
1.42889395851109e+008	(-1.02363062129128e+002dB,-9.18063481673813e+001°)
1.43218789927353e+008	(-1.02301928010869e+002dB,-9.18105979300526e+001°)
