1.000000000000000000e+08,7.093157423982690091e+01,9.000005159096390628e+01
1.002305238077899963e+08,7.091138479034779607e+01,9.000005188643820020e+01
1.004615790278400034e+08,7.089119444629010047e+01,9.000005218465040002e+01
1.006931668851799965e+08,7.087100320333459536e+01,9.000005248562999327e+01
1.009252886076679975e+08,7.085081105714159833e+01,9.000005278940730591e+01
1.011579454259900004e+08,7.083061800334820646e+01,9.000005309601529291e+01
1.013911385736680031e+08,7.081042403757139425e+01,9.000005340548439392e+01
1.016248692870700061e+08,7.079022915540359406e+01,9.000005371784780550e+01
1.018591388054119945e+08,7.077003335241690252e+01,9.000005403313609520e+01
1.020939483707679957e+08,7.074983662416059360e+01,9.000005435138379539e+01
1.023292992280749977e+08,7.072963896616180079e+01,9.000005467262189995e+01
1.025651926251409948e+08,7.070944037392379755e+01,9.000005499688450072e+01
1.028016298126470000e+08,7.068924084292909527e+01,9.000005532420669851e+01
1.030386120441620052e+08,7.066904036863519423e+01,9.000005565462079460e+01
1.032761405761400014e+08,7.064883894647900320e+01,9.000005598816240138e+01
1.035142166679340005e+08,7.062863657187310196e+01,9.000005632486720231e+01
1.037528415818009973e+08,7.060843324020559919e+01,9.000005666476999977e+01
1.039920165829059929e+08,7.058822894684379889e+01,9.000005700790680407e+01
1.042317429393299967e+08,7.056802368713070450e+01,9.000005735431329867e+01
1.044720219220799953e+08,7.054781745638490520e+01,9.000005770402680128e+01
1.047128548050899953e+08,7.052761024990189753e+01,9.000005805708539697e+01
1.049542428652320057e+08,7.050740206295300538e+01,9.000005841352350444e+01
1.051961873823219985e+08,7.048719289078660211e+01,9.000005877338300309e+01
1.054386896391260028e+08,7.046698272862569468e+01,9.000005913670000268e+01
1.056817509213660061e+08,7.044677157166970005e+01,9.000005950351419415e+01
1.059253725177289993e+08,7.042655941509349304e+01,9.000005987386569473e+01
1.061695557198719978e+08,7.040634625404790370e+01,9.000006024779189318e+01
1.064143018224309981e+08,7.038613208365859464e+01,9.000006062533580575e+01
1.066596121230259985e+08,7.036591689902630264e+01,9.000006100653679653e+01
1.069054879222660065e+08,7.034570069522750657e+01,9.000006139143580697e+01
1.071519305237600058e+08,7.032548346731380207e+01,9.000006178007629387e+01
1.073989412341240048e+08,7.030526521031009679e+01,9.000006217249840290e+01
1.076465213629830033e+08,7.028504591921830524e+01,9.000006256874830513e+01
1.078946722229830027e+08,7.026482558901260234e+01,9.000006296886360246e+01
